beat,p1,p2,p3,period,y,beat_error,rate_deviation,lift_time,amplitude
1,0.10968000000000065,0.11592000000000065,0.13160000000000066,?,0,?,?,0.02192000000000001,154.04882948527148
2,0.30728000000000066,0.3149600000000007,0.32760000000000067,0.1976,-0.0024000000000000132,?,?,0.020320000000000005,165.71402249521702
3,0.5098400000000006,0.5156000000000006,0.5312800000000006,0.20255999999999996,0.00015999999999993797,0.0024799999999999822,?,0.021440000000000015,157.36188742963574
4,0.7076000000000007,0.7135200000000007,0.7296800000000007,0.19776000000000005,-0.0020800000000000263,0.0023999999999999577,103.67999999998378,0.02207999999999999,152.977171944226
5,0.9100000000000007,0.9164000000000007,0.9317600000000007,0.20240000000000002,0.00031999999999998696,0.0023199999999999887,103.68000000000777,0.02176,155.1365944484103
6,1.1076000000000008,1.1144800000000008,1.1300000000000008,0.1976000000000001,-0.0020799999999999153,0.0023999999999999577,34.56000000003456,0.022399999999999975,150.88080010761976
7,1.3101600000000009,1.3160800000000008,1.3320800000000008,0.20256000000000007,0.000480000000000147,0.0024799999999999822,34.560000000058544,0.02191999999999994,154.048829485272
8,1.5085600000000008,1.5154400000000008,1.5301600000000009,0.1983999999999999,-0.0011199999999999544,0.002080000000000082,241.92000000002614,0.021600000000000064,156.2408243618289
9,1.7106400000000008,1.7165600000000008,1.7325600000000008,0.20208000000000004,0.0009600000000000719,0.0018400000000000638,311.0399999999754,0.02191999999999994,154.048829485272
10,1.908400000000001,1.915920000000001,1.9304800000000009,0.19776000000000016,-0.0012799999999997813,0.0021599999999999397,69.12000000002116,0.022079999999999878,152.97717194422674
11,2.1108000000000007,2.117200000000001,2.132720000000001,0.2023999999999997,0.0011199999999998989,0.0023199999999997667,0,0.02192000000000016,154.04882948527046
12,2.308720000000001,2.316080000000001,2.330960000000001,0.19792000000000032,-0.0009599999999997944,0.0022399999999996867,103.6799999999598,0.022240000000000038,151.92127458898875
13,2.511280000000001,2.517680000000001,2.532880000000001,0.20256000000000007,0.0016000000000002679,0.0023199999999998777,172.8000000000769,0.02159999999999984,156.24082436183045
14,2.709040000000001,2.716240000000001,2.730640000000001,0.1977599999999997,-0.0006400000000000294,0.0024000000000001798,172.80000000002894,0.021600000000000286,156.2408243618274
15,2.911600000000001,2.917680000000001,2.933360000000001,0.20256000000000007,0.0019200000000000328,0.0024000000000001798,138.23999999989843,0.02176,155.1365944484103
16,3.109200000000001,3.116560000000001,3.130960000000001,0.1976,-0.00047999999999998044,0.0024800000000000377,103.6799999999598,0.02176,155.1365944484103
17,3.311600000000001,3.317680000000001,3.333360000000001,0.20240000000000036,0.0019200000000003659,0.0024000000000001798,34.560000000082525,0.02176,155.1365944484103
18,3.509520000000001,3.516880000000001,3.531120000000001,0.19791999999999987,-0.00015999999999977144,0.002240000000000242,69.12000000011709,0.02159999999999984,156.24082436183045
19,3.712080000000001,3.718000000000001,3.732880000000001,0.20256000000000007,0.002400000000000291,0.0023200000000000998,172.80000000002894,0.02079999999999993,162.02223197787458
20,3.910000000000001,3.916240000000001,3.931280000000001,0.19791999999999987,0.0003200000000001535,0.0023200000000000998,207.35999999996756,0.021279999999999966,158.50016293319896
21,4.112080000000001,4.118480000000001,4.133360000000001,0.2020799999999996,0.0023999999999997357,0.0020799999999998597,103.67999999986388,0.021279999999999966,158.50016293319896
22,4.3100000000000005,4.31688,4.3312800000000005,0.19791999999999987,0.0003199999999995984,0.0020799999999998597,-2.398081733190338e-10,0.021279999999999966,158.50016293319896
23,4.5124,4.51864,4.533360000000001,0.2023999999999999,0.0027199999999995006,0.0022400000000000198,69.11999999982932,0.020960000000000534,160.82992629609873
24,4.71032,4.717040000000001,4.731440000000001,0.19791999999999987,0.0006399999999993633,0.0022400000000000198,138.23999999989843,0.021120000000000694,159.65604165072804
