beat,p1,p2,p3,period,y,beat_error,rate_deviation,lift_time,amplitude
1,0.13831999999999975,0.14135999999999976,0.16839999999999977,?,0,?,?,0.030080000000000023,114.25813844594651
2,0.3269599999999998,0.3375199999999998,0.3571999999999998,0.18864000000000006,-0.011359999999999953,?,?,0.03023999999999999,113.69940490279443
3,0.5400799999999998,0.5485599999999997,0.5699999999999997,0.21311999999999998,0.0017600000000000116,0.01223999999999996,?,0.029919999999999947,114.8231193520916
4,0.7389599999999997,0.7538399999999997,0.7586399999999998,0.19887999999999995,0.0006399999999999462,0.007120000000000015,2972.159999999975,0.01968000000000003,170.92186555117019
5,0.9415199999999998,0.9504799999999998,0.9709599999999998,0.20256000000000007,0.0032000000000000084,0.0018400000000000638,2903.0399999999777,0.02944000000000002,116.5565604387828
6,1.13208,1.1392799999999998,1.1596,0.19056000000000017,-0.006239999999999829,0.00599999999999995,-1175.0399999999522,0.02751999999999999,124.121299235212
7,1.3436,1.35208,1.3728799999999999,0.21151999999999993,0.00528000000000009,0.010479999999999878,-1036.7999999999338,0.029279999999999973,117.14755608582668
8,1.5309599999999999,1.54056,1.56168,0.18735999999999997,-0.00735999999999995,0.01207999999999998,207.35999999999157,0.03072000000000008,112.05971657484098
9,1.7444,1.75272,1.77368,0.21344000000000007,0.006080000000000113,0.013040000000000052,-69.12000000002118,0.029279999999999973,117.14755608582668
10,1.93304,1.942,1.9628,0.18864000000000014,-0.005279999999999757,0.012399999999999967,622.0800000000465,0.02976000000000001,115.39444794829441
11,2.14568,2.15432,2.17432,0.21263999999999994,0.007360000000000172,0.0119999999999999,725.7600000000543,0.028639999999999777,119.58038235066152
12,2.33592,2.34328,2.36472,0.1902400000000002,-0.0023999999999996524,0.011199999999999877,898.5600000000354,0.028799999999999937,118.96162062149018
13,2.54696,2.5564,2.57672,0.21103999999999967,0.008640000000000009,0.010399999999999743,898.5599999999873,0.02976000000000001,115.39444794829441
14,2.73544,2.7444,2.76616,0.1884800000000002,-0.0028799999999997994,0.011279999999999735,172.79999999993302,0.03072000000000008,112.05971657484098
15,2.94792,2.95704,2.9784800000000002,0.21247999999999978,0.00959999999999997,0.011999999999999789,103.67999999995982,0.030560000000000365,112.6002891167185
16,3.1370400000000003,3.1463200000000002,3.16728,0.1891200000000004,-0.0012799999999996425,0.01167999999999969,552.9600000000255,0.0302399999999996,113.69940490279578
17,3.3581600000000003,3.36648,3.3796,0.22111999999999998,0.01984000000000033,0.015999999999999792,2557.4400000001115,0.02143999999999968,157.36188742963807
18,3.53944,3.54792,3.56888,0.18127999999999966,0.0011199999999999821,0.01992000000000016,2730.2399999999966,0.029440000000000133,116.5565604387824
19,3.7503200000000003,3.7596000000000003,3.78104,0.2108800000000004,0.012000000000000371,0.014800000000000368,-1175.0400000000718,0.030719999999999636,112.05971657484248
20,3.93912,3.94904,3.96952,0.18879999999999963,0.0007999999999999952,0.011040000000000383,-1762.5599999999881,0.030400000000000205,113.14682051054261
21,4.15192,4.16136,4.18216,0.21279999999999966,0.01359999999999964,0.01200000000000001,276.4799999998449,0.030240000000000045,113.69940490279423
22,4.35048,4.35704,4.3711199999999995,0.1985600000000005,0.012160000000000143,0.007119999999999571,2799.359999999874,0.020639999999999326,163.23338667972845
23,4.55336,4.5636,4.5834399999999995,0.2028799999999995,0.015039999999999637,0.0021599999999994957,2764.800000000031,0.030079999999999885,114.258138445947
24,4.743119999999999,4.7512799999999995,4.7724,0.1897599999999997,0.004799999999999333,0.006559999999999899,-1278.7200000001758,0.02928000000000086,117.14755608582338
25,4.95448,4.96424,4.9839199999999995,0.21136000000000088,0.016160000000000202,0.010800000000000587,-1347.8400000000531,0.029439999999999245,116.55656043878564
26,5.13416,5.14456,5.1732,0.1796799999999994,-0.004160000000000413,0.015840000000000742,-1693.4399999998232,0.039039999999999964,90.35319804924266
27,5.3564,5.36504,5.38504,0.22224000000000022,0.01807999999999979,0.02128000000000041,-1520.640000000034,0.02864000000000022,119.58038235065978
28,5.51016,5.54584,5.57432,0.15376000000000012,-0.0281600000000001,0.03424000000000005,-4769.280000000021,0.06416000000000022,61.48956553910992
29,5.75704,5.766,5.78648,0.24688,0.018719999999999876,0.046559999999999935,-5045.759999999915,0.029440000000000133,116.5565604387824
30,5.94552,5.95592,5.9751199999999995,0.1884800000000002,0.0072000000000000675,0.029199999999999893,7776.000000000056,0.029599999999999405,115.9722267337494
31,6.15848,6.16616,6.18728,0.21295999999999982,0.020159999999999872,0.012239999999999807,7948.800000000037,0.02880000000000038,118.96162062148845
32,6.3476,6.35736,6.37656,0.18911999999999995,0.009279999999999816,0.01191999999999993,760.3199999999451,0.028959999999999653,118.34997313594766
33,6.5594399999999995,6.5676,6.58808,0.21183999999999958,0.02111999999999939,0.011359999999999815,656.6399999998414,0.02864000000000022,119.58038235065978
34,6.758,6.774,6.7772,0.1985600000000005,0.019679999999999892,0.006639999999999535,2453.759999999912,0.019199999999999662,175.05966580141975
35,6.96072,6.9688799999999995,6.98888,0.20272000000000023,0.022400000000000114,0.0020799999999998597,2522.880000000173,0.02815999999999974,121.4805612935797
36,7.15176,7.15832,7.17784,0.1910400000000001,0.013440000000000202,0.005840000000000067,-1071.3599999997764,0.026079999999999437,130.55457585298956
37,7.36248,7.37064,7.3908,0.21071999999999935,0.024159999999999543,0.009839999999999627,-967.6800000000565,0.0283199999999999,120.8397291237928
38,7.5508,7.55992,7.58024,0.18832000000000004,0.012479999999999575,0.011199999999999655,172.7999999997412,0.029440000000000133,116.5565604387824
39,7.7636,7.77256,7.79192,0.21280000000000054,0.025280000000000108,0.01224000000000025,34.559999999986644,0.0283199999999999,120.8397291237928
40,7.9520800000000005,7.9612,7.98232,0.1884800000000002,0.0137600000000003,0.01216000000000017,518.4000000002786,0.030239999999999156,113.6994049027973
41,8.16456,8.17224,8.19224,0.21247999999999934,0.026239999999999625,0.011999999999999567,483.84000000005227,0.02768000000000015,123.44923574950703
42,8.35496,8.36264,8.38264,0.19040000000000035,0.01663999999999996,0.011039999999999495,829.4399999998224,0.02768000000000015,123.44923574950703
43,8.566,8.57464,8.59416,0.21104000000000056,0.02768000000000051,0.010320000000000107,933.1200000001179,0.02815999999999974,121.4805612935797
44,8.754480000000001,8.76376,8.782960000000001,0.1884800000000002,0.0161600000000007,0.011280000000000179,207.3600000003513,0.02848000000000006,120.20637779372598
45,8.96712,8.97544,8.99528,0.2126399999999986,0.0287999999999993,0.012079999999999202,138.23999999989846,0.02815999999999974,121.4805612935797
46,9.15656,9.16568,9.18552,0.18944000000000116,0.01824000000000045,0.011599999999998722,691.1999999996841,0.028959999999999653,118.34997313594766
47,9.36808,9.37672,9.39672,0.21152000000000015,0.02976000000000059,0.011039999999999495,656.6400000002251,0.028639999999999333,119.58038235066324
48,9.55896,9.5668,9.5868,0.19087999999999994,0.02064000000000052,0.010320000000000107,725.7600000002942,0.02783999999999942,122.78518234044728
