beat,p1,p2,p3,period,y,beat_error,rate_deviation,lift_time,amplitude
1,0.061679999999999756,0.06583999999999976,0.07271999999999976,?,0,?,?,0.011040000000000001,251.69362851265396
2,0.22903999999999977,0.23287999999999975,0.23927999999999977,0.16736,0.0006933333333333513,?,?,0.010239999999999999,271.08303352596994
3,0.3949599999999998,0.3991199999999998,0.4063199999999998,0.16592000000000004,-5.33333333332664e-05,0.0007199999999999845,?,0.011359999999999981,244.7078265934429
4,0.5623199999999998,0.5661599999999998,0.5723999999999998,0.16736,0.0006400000000000849,0.0007199999999999845,-27.6479999999653,0.010079999999999978,275.3327942477074
5,0.7282399999999998,0.7323999999999998,0.7392799999999998,0.16591999999999996,-0.00010666666666661606,0.0007200000000000262,-27.647999999994077,0.01104000000000005,251.69362851265288
6,0.8955999999999998,0.8994399999999998,0.9058399999999998,0.16736000000000006,0.0005866666666667908,0.0007200000000000539,-27.647999999994077,0.010239999999999916,271.08303352597216
7,1.06168,1.06568,1.07272,0.16608000000000012,2.498001805406602e-16,0.0006399999999999739,13.824000000061787,0.011039999999999939,251.6936285126553
8,1.22888,1.23288,1.2396,0.16720000000000002,0.0005333333333336077,0.0005599999999999494,13.824000000090564,0.010720000000000063,259.0997099052558
9,1.39496,1.39896,1.40568,0.16608,-5.333333333304435e-05,0.0005600000000000049,-27.647999999950912,0.010720000000000063,259.0997099052558
10,1.56216,1.56616,1.57272,0.16720000000000002,0.0004800000000003135,0.0005600000000000049,-27.64799999997969,0.010559999999999903,262.97229340195236
11,1.72824,1.73224,1.73752,0.16608,-0.0001066666666663385,0.0005600000000000049,-27.64799999997969,0.009279999999999955,298.79360014281787
12,1.89544,1.89944,1.90584,0.16720000000000002,0.00042666666666701936,0.0005600000000000049,-27.64799999997969,0.010399999999999965,266.9648601031092
13,2.06152,2.06552,2.0724,0.16607999999999978,-0.0001599999999998547,0.000560000000000116,-27.648000000037243,0.010880000000000223,255.34181690133414
14,2.22872,2.23272,2.23912,0.16720000000000024,0.0003733333333337252,0.000560000000000227,-27.648000000037243,0.010400000000000187,266.96486010310355
15,2.3948,2.39896,2.40584,0.16608,-0.0002133333333329268,0.000560000000000116,-27.647999999922135,0.011039999999999939,251.6936285126553
16,2.562,2.566,2.57256,0.1671999999999998,0.000320000000000209,0.0005599999999998939,-27.64799999997969,0.010560000000000347,262.9722934019414
17,2.72808,2.73224,2.73896,0.16608,-0.000266666666666443,0.0005599999999998939,-27.648000000094797,0.010880000000000223,255.34181690133414
18,2.8954400000000002,2.89928,2.9056800000000003,0.1673600000000004,0.0004266666666672969,0.000640000000000196,13.824000000061787,0.010240000000000027,271.08303352596914
19,3.06136,3.0655200000000002,3.0722400000000003,0.16591999999999985,-0.0003199999999995151,0.000720000000000276,13.824000000176895,0.010880000000000223,255.34181690133414
20,3.22856,3.23272,3.2388,0.1671999999999998,0.0002133333333336207,0.0006399999999999739,-69.12000000002116,0.010240000000000027,271.08303352596914
21,3.3948,3.3988,3.4056800000000003,0.16624000000000017,-0.0002133333333328713,0.0004799999999998139,-27.648000000094797,0.010880000000000223,255.34181690133414
